,exchange,cal_date,is_open
6212,SSE,20170103,1
6213,SSE,20170104,1
6214,SSE,20170105,1
6215,SSE,20170106,1
6216,SSE,20170107,0
6217,SSE,20170108,0
6218,SSE,20170109,1
6219,SSE,20170110,1
6220,SSE,20170111,1
6221,SSE,20170112,1
6222,SSE,20170113,1
6223,SSE,20170114,0
6224,SSE,20170115,0
6225,SSE,20170116,1
6226,SSE,20170117,1
6227,SSE,20170118,1
6228,SSE,20170119,1
6229,SSE,20170120,1
6230,SSE,20170121,0
6231,SSE,20170122,0
6232,SSE,20170123,1
6233,SSE,20170124,1
6234,SSE,20170125,1
6235,SSE,20170126,1
6236,SSE,20170127,0
6237,SSE,20170128,0
6238,SSE,20170129,0
6239,SSE,20170130,0
6240,SSE,20170131,0
6241,SSE,20170201,0
6242,SSE,20170202,0
6243,SSE,20170203,1
6244,SSE,20170204,0
6245,SSE,20170205,0
6246,SSE,20170206,1
6247,SSE,20170207,1
6248,SSE,20170208,1
6249,SSE,20170209,1
6250,SSE,20170210,1
6251,SSE,20170211,0
6252,SSE,20170212,0
6253,SSE,20170213,1
6254,SSE,20170214,1
6255,SSE,20170215,1
6256,SSE,20170216,1
6257,SSE,20170217,1
6258,SSE,20170218,0
6259,SSE,20170219,0
6260,SSE,20170220,1
6261,SSE,20170221,1
6262,SSE,20170222,1
6263,SSE,20170223,1
6264,SSE,20170224,1
6265,SSE,20170225,0
6266,SSE,20170226,0
6267,SSE,20170227,1
6268,SSE,20170228,1
6269,SSE,20170301,1
6270,SSE,20170302,1
6271,SSE,20170303,1
6272,SSE,20170304,0
6273,SSE,20170305,0
6274,SSE,20170306,1
6275,SSE,20170307,1
6276,SSE,20170308,1
6277,SSE,20170309,1
6278,SSE,20170310,1
6279,SSE,20170311,0
6280,SSE,20170312,0
6281,SSE,20170313,1
6282,SSE,20170314,1
6283,SSE,20170315,1
6284,SSE,20170316,1
6285,SSE,20170317,1
6286,SSE,20170318,0
6287,SSE,20170319,0
6288,SSE,20170320,1
6289,SSE,20170321,1
6290,SSE,20170322,1
6291,SSE,20170323,1
6292,SSE,20170324,1
6293,SSE,20170325,0
6294,SSE,20170326,0
6295,SSE,20170327,1
6296,SSE,20170328,1
6297,SSE,20170329,1
6298,SSE,20170330,1
6299,SSE,20170331,1
6300,SSE,20170401,0
6301,SSE,20170402,0
6302,SSE,20170403,0
6303,SSE,20170404,0
6304,SSE,20170405,1
6305,SSE,20170406,1
6306,SSE,20170407,1
6307,SSE,20170408,0
6308,SSE,20170409,0
6309,SSE,20170410,1
6310,SSE,20170411,1
6311,SSE,20170412,1
6312,SSE,20170413,1
6313,SSE,20170414,1
6314,SSE,20170415,0
6315,SSE,20170416,0
6316,SSE,20170417,1
6317,SSE,20170418,1
6318,SSE,20170419,1
6319,SSE,20170420,1
6320,SSE,20170421,1
6321,SSE,20170422,0
6322,SSE,20170423,0
6323,SSE,20170424,1
6324,SSE,20170425,1
6325,SSE,20170426,1
6326,SSE,20170427,1
6327,SSE,20170428,1
6328,SSE,20170429,0
6329,SSE,20170430,0
6330,SSE,20170501,0
6331,SSE,20170502,1
6332,SSE,20170503,1
6333,SSE,20170504,1
6334,SSE,20170505,1
6335,SSE,20170506,0
6336,SSE,20170507,0
6337,SSE,20170508,1
6338,SSE,20170509,1
6339,SSE,20170510,1
6340,SSE,20170511,1
6341,SSE,20170512,1
6342,SSE,20170513,0
6343,SSE,20170514,0
6344,SSE,20170515,1
6345,SSE,20170516,1
6346,SSE,20170517,1
6347,SSE,20170518,1
6348,SSE,20170519,1
6349,SSE,20170520,0
6350,SSE,20170521,0
6351,SSE,20170522,1
6352,SSE,20170523,1
6353,SSE,20170524,1
6354,SSE,20170525,1
6355,SSE,20170526,1
6356,SSE,20170527,0
6357,SSE,20170528,0
6358,SSE,20170529,0
6359,SSE,20170530,0
6360,SSE,20170531,1
6361,SSE,20170601,1
6362,SSE,20170602,1
6363,SSE,20170603,0
6364,SSE,20170604,0
6365,SSE,20170605,1
6366,SSE,20170606,1
6367,SSE,20170607,1
6368,SSE,20170608,1
6369,SSE,20170609,1
6370,SSE,20170610,0
6371,SSE,20170611,0
6372,SSE,20170612,1
6373,SSE,20170613,1
6374,SSE,20170614,1
6375,SSE,20170615,1
6376,SSE,20170616,1
6377,SSE,20170617,0
6378,SSE,20170618,0
6379,SSE,20170619,1
6380,SSE,20170620,1
6381,SSE,20170621,1
6382,SSE,20170622,1
6383,SSE,20170623,1
6384,SSE,20170624,0
6385,SSE,20170625,0
6386,SSE,20170626,1
6387,SSE,20170627,1
6388,SSE,20170628,1
6389,SSE,20170629,1
6390,SSE,20170630,1
6391,SSE,20170701,0
6392,SSE,20170702,0
6393,SSE,20170703,1
6394,SSE,20170704,1
6395,SSE,20170705,1
6396,SSE,20170706,1
6397,SSE,20170707,1
6398,SSE,20170708,0
6399,SSE,20170709,0
6400,SSE,20170710,1
6401,SSE,20170711,1
6402,SSE,20170712,1
6403,SSE,20170713,1
6404,SSE,20170714,1
6405,SSE,20170715,0
6406,SSE,20170716,0
6407,SSE,20170717,1
6408,SSE,20170718,1
6409,SSE,20170719,1
6410,SSE,20170720,1
6411,SSE,20170721,1
6412,SSE,20170722,0
6413,SSE,20170723,0
6414,SSE,20170724,1
6415,SSE,20170725,1
6416,SSE,20170726,1
6417,SSE,20170727,1
6418,SSE,20170728,1
6419,SSE,20170729,0
6420,SSE,20170730,0
6421,SSE,20170731,1
6422,SSE,20170801,1
6423,SSE,20170802,1
6424,SSE,20170803,1
6425,SSE,20170804,1
6426,SSE,20170805,0
6427,SSE,20170806,0
6428,SSE,20170807,1
6429,SSE,20170808,1
6430,SSE,20170809,1
6431,SSE,20170810,1
6432,SSE,20170811,1
6433,SSE,20170812,0
6434,SSE,20170813,0
6435,SSE,20170814,1
6436,SSE,20170815,1
6437,SSE,20170816,1
6438,SSE,20170817,1
6439,SSE,20170818,1
6440,SSE,20170819,0
6441,SSE,20170820,0
6442,SSE,20170821,1
6443,SSE,20170822,1
6444,SSE,20170823,1
6445,SSE,20170824,1
6446,SSE,20170825,1
6447,SSE,20170826,0
6448,SSE,20170827,0
6449,SSE,20170828,1
6450,SSE,20170829,1
6451,SSE,20170830,1
6452,SSE,20170831,1
6453,SSE,20170901,1
6454,SSE,20170902,0
6455,SSE,20170903,0
6456,SSE,20170904,1
6457,SSE,20170905,1
6458,SSE,20170906,1
6459,SSE,20170907,1
6460,SSE,20170908,1
6461,SSE,20170909,0
6462,SSE,20170910,0
6463,SSE,20170911,1
6464,SSE,20170912,1
6465,SSE,20170913,1
6466,SSE,20170914,1
6467,SSE,20170915,1
6468,SSE,20170916,0
6469,SSE,20170917,0
6470,SSE,20170918,1
6471,SSE,20170919,1
6472,SSE,20170920,1
6473,SSE,20170921,1
6474,SSE,20170922,1
6475,SSE,20170923,0
6476,SSE,20170924,0
6477,SSE,20170925,1
6478,SSE,20170926,1
6479,SSE,20170927,1
6480,SSE,20170928,1
6481,SSE,20170929,1
6482,SSE,20170930,0
6483,SSE,20171001,0
6484,SSE,20171002,0
6485,SSE,20171003,0
6486,SSE,20171004,0
6487,SSE,20171005,0
6488,SSE,20171006,0
6489,SSE,20171007,0
6490,SSE,20171008,0
6491,SSE,20171009,1
6492,SSE,20171010,1
6493,SSE,20171011,1
6494,SSE,20171012,1
6495,SSE,20171013,1
6496,SSE,20171014,0
6497,SSE,20171015,0
6498,SSE,20171016,1
6499,SSE,20171017,1
