,Unnamed: 0,Unnamed: 0.1,open,high,low,adjclose,amount,volume,str07,pct_index_300,pct_vol_300,adjclose_8,true_adjclose_8,buy_profit,sell_profit
1621.0,1621,2011-11-08,5.56,5.68,5.46,5.66,71631744.0,12792507,65536,-0.31210598446779203,5.529901715162611,5.94557,5.56,0.0,-0.28556999206542955
1622.0,1622,2011-11-09,5.63,5.74,5.58,5.65,52781108.0,9330866,65536,0.8776592819617957,-2.1015092811724423,5.9869833,5.6,0.0,-0.33698329925537074
1623.0,1623,2011-11-10,5.6,5.61,5.45,5.46,43985872.0,7960481,65536,-1.8919557356495202,9.16367094472541,5.8828297,5.43,0.0,-0.42282966613769535
1625.0,1625,2011-11-14,5.65,5.77,5.62,5.72,60832808.0,10669365,65536,2.0482374768088896,26.62425399932351,5.764458,5.46,0.0,-0.0444581794738772
1627.0,1627,2011-11-16,5.72,5.75,5.51,5.64,48747252.0,8624503,65536,-2.7165279741172004,33.97849906790884,5.6074023,5.55,0.0,0.03259767532348601
1634.0,1634,2011-11-25,5.42,5.52,5.35,5.49,29582052.0,5428683,65536,-0.7319654527756847,-21.127702175236408,5.367658,5.46,0.0,0.12234186172485373
1652.0,1652,2011-12-21,4.83,4.85,4.58,4.61,8059319.0,1696099,65536,-1.5969239441833816,-3.6812232652303054,4.381239,4.28,0.0,0.22876106262207063
1663.0,1663,2012-01-09,4.08,4.28,4.07,4.27,11877032.0,2830584,65536,3.403911638871926,55.4798529457889,4.177739,4.2,0.0,0.09226085662841754
1665.0,1665,2012-01-11,4.43,4.48,4.34,4.35,19109306.0,4336539,65536,-0.479702535395421,-27.66227348019232,4.1989226,4.22,0.0,0.15107736587524379
1687.0,1687,2012-02-17,4.66,4.69,4.57,4.63,27991276.0,6061214,65536,0.040219710023770006,-28.31251580670443,4.4707646,4.65,-0.1592353630065917,0.0
1691.0,1691,2012-02-23,4.73,4.78,4.65,4.71,27810002.0,5907986,65536,0.33801992700617234,-7.8551881087854944,4.6385946,4.71,0.0,0.0
1695.0,1695,2012-02-29,4.74,4.76,4.65,4.65,21596738.0,4607347,65536,-1.0636779519692328,-23.80683884336505,4.7215695,4.92,0.07156953811645472,0.0
1701.0,1701,2012-03-08,4.68,4.88,4.68,4.88,56619924.0,11754163,65536,1.2597003457548883,1.0547732466673176,4.767027,4.88,0.0,0.0
1703.0,1703,2012-03-12,4.9,4.96,4.86,4.92,30071636.0,6114496,65536,-0.3715797770521334,12.791228768292465,4.6971836,4.87,0.0,0.22281639099121087
1707.0,1707,2012-03-16,5.01,5.09,4.85,5.06,89739824.0,18003085,65536,1.4685463441047375,-19.94695722346952,4.861431,4.55,0.0,0.19856887817382773
1709.0,1709,2012-03-20,5.02,5.04,4.82,4.88,41221396.0,8337336,65536,-1.7323128048942982,0.8108714083435054,4.8356347,4.41,0.0,0.04436529159545888
