,Unnamed: 0,open,high,low,adjclose,amount,volume,str07,adjclose_4,true_adjclose_4,buy_profit,sell_profit
2569.0,2011-01-17,33.0,33.16,31.78,32.01,51903540.0,1603111,65536,32.560005,30.599999999999998,0.0,-0.5500051879882832
2570.0,2011-01-18,31.99,32.5,31.68,32.21,34884060.0,1088678,65536,32.160812,30.57,0.0,0.04918762207031335
2583.0,2011-02-11,32.28,32.47,32.0,32.28,78182608.0,2424269,65536,32.275616,32.33,-0.004384307861329262,0.0
2585.0,2011-02-15,33.18,33.37,32.8,32.86,98964936.0,2999741,65536,32.98402,32.03,0.0,-0.12402023315429744
2598.0,2011-03-07,32.56,32.96,32.54,32.91,151787712.0,4630119,65536,32.71632,34.26,-0.19367996215819971,0.0
2604.0,2011-03-15,34.39,34.39,33.0,33.88,159448128.0,4748845,65536,34.034046,33.5,0.0,-0.15404617309570057
2612.0,2011-03-25,32.95,32.99,32.58,32.83,153991840.0,4700281,65536,32.89754,31.32,0.0,-0.06754104614257983
2613.0,2011-03-28,33.0,33.0,32.1,32.28,218303392.0,6708178,65536,32.686844,31.23,0.0,-0.40684387207031136
2630.0,2011-04-22,32.41,32.77,32.3,32.69,96236360.0,2956699,65536,32.52116,32.97,-0.16883987426757585,0.0
2634.0,2011-04-28,34.01,34.01,32.95,32.97,100898936.0,3012392,65536,33.452404,35.04,0.482404022216798,0.0
2637.0,2011-05-04,34.45,35.21,34.1,34.39,364011584.0,10476999,65536,34.710606,35.2,0.32060562133789006,0.0
2639.0,2011-05-06,34.77,35.69,34.67,35.37,284444224.0,8023012,65536,35.196747,34.96,0.0,0.17325317382812244
2643.0,2011-05-12,34.5,35.45,34.18,34.96,167025488.0,4760736,65536,34.95912,35.0,-0.0008782958984383527,0.0
2646.0,2011-05-17,35.25,35.78,34.58,34.7,160781808.0,4594240,65536,35.131626,34.09,0.0,-0.4316261291503878
2655.0,2011-05-30,33.89,34.88,33.7,34.6,106408384.0,3090051,65536,34.308628,34.82,-0.2913719177246108,0.0
2664.0,2011-06-13,35.18,35.18,33.91,34.25,115334312.0,3347154,65536,34.75709,33.06,0.0,-0.5070915222167969
2668.0,2011-06-20,32.96,33.33,32.46,33.06,100309472.0,3055473,65536,33.140125,34.49,0.08012527465820085,0.0
2672.0,2011-06-24,33.7,34.65,33.38,34.49,83823000.0,2448616,65536,34.029186,34.14,0.0,0.4608137512207051
2676.0,2011-06-30,33.41,34.35,33.41,34.14,70891112.0,2072820,65536,33.998383,35.34,-0.14161743164062557,0.0
2680.0,2011-07-06,35.29,35.36,34.9,35.34,81687296.0,2323172,65536,35.304806,35.03,0.0,0.035194244384769036
2684.0,2011-07-12,35.14,35.73,34.96,35.03,93071400.0,2630682,65536,35.420197,37.19,0.39019653320312386,0.0
2685.0,2011-07-13,35.01,36.28,34.89,36.11,202403488.0,5702200,65536,35.80563,37.57,-0.30437026977539006,0.0
2695.0,2011-07-27,36.59,38.5,36.0,38.46,163049472.0,4325041,65536,37.50994,36.86,0.0,0.9500588989257821
